                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                 1.2227,                 0.6722,                 1.1683,                0.90603,                0.80351,                0.86629,                0.57327,                 1.1233,                0.71982,                 1.1875,              0.0011882,              0.0011882,              0.0011882
                     84,                 1.1674,                0.66405,                 1.1419,                0.95641,                0.79545,                0.88939,                0.56192,                 1.1609,                0.72246,                 1.1965,              0.0011783,              0.0011783,              0.0011783
                     85,                  1.194,                0.69033,                 1.1429,                0.87439,                0.79105,                0.85587,                 0.5505,                 1.2003,                0.79424,                 1.2223,              0.0011684,              0.0011684,              0.0011684
                     86,                   1.19,                0.67322,                 1.1118,                0.91755,                0.75882,                0.86281,                0.57561,                 1.1097,                0.74499,                 1.1987,              0.0011585,              0.0011585,              0.0011585
                     87,                 1.1756,                0.65869,                 1.1342,                0.95376,                0.78129,                0.88227,                  0.565,                 1.1585,                0.73224,                 1.1981,              0.0011486,              0.0011486,              0.0011486
                     88,                 1.1806,                 0.6777,                 1.1261,                0.91981,                0.77273,                0.86135,                0.54923,                 1.1997,                0.75293,                  1.216,              0.0011387,              0.0011387,              0.0011387
                     89,                 1.1688,                0.64749,                 1.1056,                0.90894,                0.83333,                0.87459,                0.54311,                 1.2172,                0.75609,                 1.2315,              0.0011288,              0.0011288,              0.0011288
                     90,                 1.2044,                0.66641,                 1.1302,                0.92016,                0.81061,                 0.8486,                0.56423,                  1.133,                0.73589,                 1.1938,              0.0011189,              0.0011189,              0.0011189
                     91,                 1.1646,                0.66071,                 1.1206,                 0.9054,                0.80303,                0.86797,                0.56087,                 1.1898,                0.73942,                 1.2275,               0.001109,               0.001109,               0.001109
                     92,                 1.1583,                0.65413,                  1.124,                 0.8701,                0.81195,                0.85175,                0.56086,                 1.1813,                0.73971,                 1.2367,              0.0010991,              0.0010991,              0.0010991
                     93,                 1.1119,                0.61455,                 1.1102,                0.90754,                0.81818,                0.87049,                0.54614,                 1.2226,                0.73786,                 1.2354,              0.0010892,              0.0010892,              0.0010892
                     94,                 1.1433,                0.64717,                 1.0931,                  0.907,                0.81277,                0.86126,                0.54003,                 1.2014,                0.72724,                 1.2323,              0.0010793,              0.0010793,              0.0010793
